Vertical|Site|Pub Date|Title|Author|Content Type|Content Source|Cost|Effort|Total Cost|30 Day Views|30 Day Revenue|60 Day Views|60 Day Revenue|90 Day Views|90 Day Revenue|120 Day Views|120 Day Revenue|150 Day Views|150 Day Revenue|180 Day Views|180 Day Revenue|210 Day Views|210 Day Revenue|240 Day Views|240 Day Revenue|270 Day Views|270 Day Revenue|300 Day Views|300 Day Revenue|330 Day Views|330 Day Revenue|360 Day Views|360 Day Revenue|Gross Revenue|Net Revenue
Networking|Enterprise Networking Planet|2010-05-28|FCC to Take Up Broadband Reclassification in June|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|255|18.5635818982959|7|0.484894501408542|0|0.0|3|0.216921084814042|1|0.0800468505238348|0|0.0|0|0.0|0|0.0|0|0.0|0|0|0|0|0|0|19.345443919301|-9.345443919301
Networking|Enterprise Networking Planet|2010-05-28|Jokes, Jeers in a Look Back at 25 Years of .Com|David Needle|News|InternetNews|0.0|0.25|10.0|347|25.2610310537596|2|0.138541286116726|2|0.182305954856177|0|0.0|3|0.240140551571505|2|0.151389656356875|1|0.0730220030967321|1|0.0|2|0.0|2|0|2|0|0|0|26.046429656446|-16.046429656446
Networking|Enterprise Networking Planet|2010-05-27|Ethernet Switch, Router Markets Rebound|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|317|23.0770802421953|43|2.97863765150962|41|3.73727207455163|38|2.7476670743112|21|1.68098386100053|13|0.984032766319688|7|0.511154021677125|7|0.0|11|0.0|4|0|0|0|0|0|35.7168272137642|-25.7168272137642
Networking|Enterprise Networking Planet|2010-05-26|Meru Introduces Four New Service Assurance Apps|Lisa Phifer|News|Freelance|300.0|0.5|320.0|73|5.31428030813962|3|0.20781192917509|0|0.0|1|0.0723070282713474|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0|0|0|0|0|5.59439945966005|314.40560054034
Networking|Enterprise Networking Planet|2010-05-25|Top FCC Lawyer Looks Ahead to Rocky Road for Broadband Plan|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|215|15.651647482877|8|0.554165144466905|3|0.273458932284265|7|0.506149197899432|1|0.0800468505238348|0|0.0|0|0.0|1|0.0|1|0.0|0|0|1|0|0|0|17.0654676407576|-7.0654676407576
Networking|Enterprise Networking Planet|2010-05-25|Cisco Connected Grid Router, Switch Debut for Smart Grid|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|237|17.2532114113574|26|1.80103671951744|12|1.09383572913706|14|1.01229839579886|9|0.720421654714514|4|0.30277931271375|1|0.0730220030967321|4|0.0|5|0.0|3|0|5|0|0|0|22.2566057369113|-12.2566057369113
Networking|Enterprise Networking Planet|2010-05-24|Apple Security Isn't a Sure Bet|Paul Rubens|Trends|Freelance|425.0|0.5|445.0|1838|133.803386388502|35|2.42447250704271|43|3.91957802940781|44|3.18150924393928|38|3.04178031990572|26|1.96806553263938|9|0.657198027870589|13|0.0|10|0.0|7|0|4|0|0|0|148.995994150639|296.004005849361
Networking|Enterprise Networking Planet|2010-05-21|Judge Gives Corrupt ISP the Digital Death Penalty|Larry Barrett|News|InternetNews|0.0|0.1|4.0|1516|110.362314344379|6|0.415623858350179|5|0.455764887140442|3|0.216921084814042|4|0.320187402095339|0|0.0|1|0.0730220030967321|1|0.0|1|0.0|2|0|1|0|0|0|111.843831531703|-107.843831531703
Networking|Enterprise Networking Planet|2010-05-20|Novell Expands Identity Manager to the Cloud|Sean Michael Kerner|News|InternetNews|0.0|0.1|4.0|224|16.3068327263462|26|1.80103671951744|10|0.911529774280885|23|1.66306165024099|12|0.960562206286018|12|0.908337938141251|17|1.24137405264445|4|0.292088012386929|2|0.0|7|0|9|0|3|0|24.0848235785961|-20.0848235785961
Networking|Enterprise Networking Planet|2010-05-19|Cisco, CA Partner on Datacenter Management|Sean Michael Kerner|News|InternetNews|0.0|0.1|4.0|62|4.51349834389941|1|0.0692706430583632|0|0.0|0|0.0|0|0.0|0|0.0|1|0.0756948281784375|2|0.146044006193464|1|0.0|1|0.0|0|0|0|0|4.80450777709484|-0.80450777709484
Networking|Enterprise Networking Planet|2010-05-18|Ten Ways to Protect Your Network From Insider Threats|Paul Rubens|Top 10|Editor-Written|425.0|0.5|445.0|417|30.3569162807428|67|4.64113308491033|88|8.02146201367179|61|5.5603316231134|74|5.35072009207971|42|3.36196772200106|48|3.633351752565|26|1.89857208051504|47|0.0|47|0.0|92|0|21|0|62.8244556188583|382.175544381142
Networking|Enterprise Networking Planet|2010-05-17|Juniper Expands Routing, Switching and Software Portfolio|Sean Michael Kerner|News|InternetNews|0.0|0.1|4.0|270|19.6555573040781|27|1.87030736257581|15|1.03905964587545|28|2.55228336798648|25|1.80767570678368|17|1.36079645890519|11|0.832643109962813|12|0.876264037160786|6|0.0|6|0.0|17|0|0|0|29.9945871829987|-25.9945871829987
Networking|Enterprise Networking Planet|2010-05-14|House Lawmakers Press to Expand U.S. Broadband|Kenneth Corbin|News|InternetNews|0.0|0.1|4.0|391|18.6540008851355|4|0.291193441541897|2|0.138541286116726|1|0.0911529774280885|2|0.144614056542695|2|0.16009370104767|2|0.151389656356875|1|0.0730220030967321|6|0.0|1|0.0|1|0|0|0|19.7040083631873|-15.7040083631873
Networking|Enterprise Networking Planet|2010-05-13|Cisco's Strongest Quarter Ever Built on New Gear|Sean Michael Kerner|News|InternetNews|0.0|0.1|4.0|348|16.6025378721922|13|0.946378685011166|10|0.692706430583632|3|0.273458932284265|5|0.361535141356737|6|0.480281103143009|3|0.227084484535313|1|0.0730220030967321|0|0.0|0|0.0|0|0|0|0|19.6570039317012|-15.6570039317012
Networking|Enterprise Networking Planet|2010-05-13|NetFlow Gives International Law Firm Network Visibility|Drew Robb|Trends|Freelance|300.0|1.0|340.0|110|5.24792863776191|31|2.2567491719497|21|1.45468350422563|11|1.00268275170897|10|0.723070282713474|12|0.960562206286018|15|1.13542242267656|6|0.438132018580393|2|0.0|2|0.0|0|0|13|0|13.2192310988903|326.78076890111
